description,category
Uber Eats $13,Food
Starbucks coffee,Food
Walmart groceries,Grocery
Amazon order $45,Shopping
Monthly gym membership,Fitness
Netflix subscription,Entertainment
Uber ride to airport,Transport
Rent payment,Utilities
Lunch at Chipotle,Food
Gas station fill-up,Transport
Whole Foods weekly groceries,Grocery
Movie ticket - AMC,Entertainment
Planet Fitness monthly dues,Fitness
Sephora skincare purchase,Shopping
Grubhub dinner $22,Food
Shell gas refill,Transport
Apple Music subscription,Entertainment
Trader Joe's snacks,Grocery
Target clothing haul,Shopping
Yoga class drop-in,Fitness
Comcast internet bill,Utilities
McDonald’s breakfast,Food
Lyft ride downtown,Transport
Costco bulk groceries,Grocery
Best Buy electronics order,Shopping
HBO Max subscription,Entertainment
Domino’s Pizza night,Food
CVS pharmacy refill,Shopping
Monthly electric bill,Utilities
Gym yoga mat purchase,Fitness
Uber ride home,Transport
KFC dinner,Food
Amazon Prime subscription,Entertainment
Walmart toiletries,Shopping
Panera Bread lunch,Food
Shell gas station stop,Transport
Monthly water bill,Utilities
Lululemon leggings,Shopping
Chipotle burrito,Food
Spotify subscription,Entertainment
Instacart groceries,Grocery
Planet Fitness protein bar,Fitness
Gas station stop,Transport
Taco Bell midnight snack,Food
Netflix bill,Entertainment
Staples school supplies,Shopping
Dinner at Olive Garden,Food
Electricity payment,Utilities
H&M hoodie purchase,Shopping
Subway sandwich lunch,Food
Lyft to office,Transport
7-Eleven snacks,Food
Disney+ monthly,Entertainment
Target kitchen items,Shopping
Publix groceries,Grocery
Anytime Fitness access card,Fitness
Bus pass refill,Transport
Burger King combo meal,Food
Monthly rent,Utilities
Amazon accessories,Shopping
Lunch at Five Guys,Food
Shell gas,Transport
Peacock TV subscription,Entertainment
Trader Joe’s frozen meals,Grocery
Gym towel purchase,Fitness
Uber to mall,Transport
Panda Express dinner,Food
Apple iCloud bill,Utilities
Zara jeans,Shopping
Starbucks iced latte,Food
Enterprise car rental,Transport
Walmart household items,Grocery
Crunch Fitness fee,Fitness
Movie on Prime Video,Entertainment
Domino's pizza slice,Food
AT&T phone bill,Utilities
Nike shoes,Shopping
Chick-fil-A nuggets,Food
Gas station full tank,Transport
Aldi groceries,Grocery
Gym locker fee,Fitness
HBO add-on,Entertainment
Taco Bell combo,Food
Rent utilities adjustment,Utilities
Old Navy shirts,Shopping
Breakfast at IHOP,Food
Bus ticket,Transport
Kroger fresh produce,Grocery
Yoga mat cleaner,Fitness
Disney+ movie night,Entertainment
Wendy’s cheeseburger,Food
Internet installation,Utilities
Best Buy USB cable,Shopping
Panera salad,Food
Taxi fare to station,Transport
Sam’s Club monthly stock,Grocery
Gym shower towel,Fitness
Amazon Kindle book,Entertainment
Popeyes chicken meal,Food
Water bill payment,Utilities
Forever 21 hoodie,Shopping
description,category
Lunch at Shake Shack,Food
Lyft from airport,Transport
Whole Foods weekend grocery,Grocery
Fitness gloves,Shopping
Netflix monthly fee,Entertainment
Dinner at Applebee's,Food
Gas refill,Transport
Water bill charge,Utilities
Zara summer dress,Shopping
Starbucks croissant,Food
Train to city,Transport
Kroger groceries,Grocery
Gym protein shake,Fitness
Hulu subscription,Entertainment
McDonald's happy meal,Food
Electric bill,Utilities
Urban Outfitters shirt,Shopping
Domino's delivery,Food
Taxi to work,Transport
Walmart groceries and snacks,Grocery
Gym bottle refill,Fitness
Amazon Video rental,Entertainment
Burger King Whopper,Food
Monthly gas bill,Utilities
Target school supplies,Shopping
Breakfast bagel,Food
Rideshare to interview,Transport
Publix weekend shopping,Grocery
Personal trainer session,Fitness
Spotify family plan,Entertainment
Chipotle salad bowl,Food
Electricity usage fee,Utilities
Amazon headphones,Shopping
Dinner at TGI Fridays,Food
Gas top-up,Transport
Aldi fresh groceries,Grocery
Gym entrance fee,Fitness
Paramount+ trial,Entertainment
Panera coffee,Food
Water utility bill,Utilities
Forever 21 t-shirts,Shopping
Breakfast smoothie,Food
Bus fare to campus,Transport
Trader Joe's weekly run,Grocery
Gym mat rental,Fitness
Amazon movie night,Entertainment
Chick-fil-A sandwich,Food
Rent service charge,Utilities
Best Buy HDMI cable,Shopping
Taco Bell lunch box,Food
Lyft to hotel,Transport
Whole Foods pantry refill,Grocery
Dumbbell set,Shopping
HBO Now bill,Entertainment
Lunch at Subway,Food
Gas refill at Mobil,Transport
Monthly rent payment,Utilities
Amazon fashion top,Shopping
IHOP pancakes,Food
Train fare to NYC,Transport
Giant grocery store visit,Grocery
Monthly gym pass,Fitness
Netflix 4K plan,Entertainment
Domino's cheesy bread,Food
Verizon phone bill,Utilities
Uniqlo fall jacket,Shopping
Breakfast wrap,Food
Lyft to college,Transport
Walmart groceries bulk,Grocery
Treadmill session,Fitness
Hulu Plus bill,Entertainment
KFC bucket meal,Food
Utility adjustment fee,Utilities
Nordstrom socks,Shopping
Panera sandwich,Food
Taxi to mall,Transport
Costco monthly restock,Grocery
Weight bench,Fitness
Amazon TV series,Entertainment
McDonald's iced coffee,Food
Utility meter reading,Utilities
Old Navy fall wear,Shopping
Starbucks frappuccino,Food
Gas payment,Transport
Safeway vegetables,Grocery
Yoga drop-in,Fitness
Netflix streaming,Entertainment
